Product_Name,Actual_Price,Discounted_Price,Description,img_link
Blue Bead Kundan Earring Necklace Set,3500, 1750,Add color to your evening look with this green beaded piece. Features a double string of blue beads and kundan drops along with earrings ,https://img.faballey.com/images/Product/ZNS00050/d3.jpg
White Blue Diamond Drop String Earring Necklace Set,5750, 2875,Add some oomph to your festive look with this white blue diamond necklace. Features blue diamonds encircled with delicate white diamonds. ,https://img.faballey.com/images/Product/ZNS00031/d3.jpg
Gold Kundan Green Bead String Earring Necklace Set,4000, 2000,"Classic and timeless, this kundan and green bead set is what makes your jewellery collection unfading. Features a necklace crafted from strings of kundan stones and green beads.",https://img.faballey.com/images/Product/ZNS00049/d3.jpg
Gold Leaf Kundan Double Pearl Earrings Necklace Set,3500, 1750,"For all those who shy away from statement pieces, this set is the perfect pick. Features a kundan studded choker with white pearls on either side, and stud earrings",https://img.faballey.com/images/Product/ZNS00045/d3.jpg
Gold Kundan Red Drop Meena Earring Necklace Set,4500, 2250,A classic and delicate piece like this red beaded kundan set is a must-have in every jewellery collection. Features a necklace crafted from kundan stones and red beads ,https://img.faballey.com/images/Product/ZNS00054/d3.jpg
White Diamond Aqua Drop Earring Necklace Set,4900, 2450,"Take the glamour quotient up a few notches with this aqua drop diamond set. Featuring an enchanting aqua stone drop on the necklace and earrings, this set is equal parts sizzling siren and sophisticated. ",https://img.faballey.com/images/Product/ZNS00013/d3.jpg
Gold Kundan Pearl Earring Necklace Set,4750, 2375,"Be it for a day wedding or a night soiree, this gold toned necklace and earring set can be your go-to. Features a necklace crafted of two strings of pearls and square shaped kundan stones along with earrings. ",https://img.faballey.com/images/Product/ZNS00044/d3.jpg
Gold Red Kundan Bead Earring Necklace Set,3200, 1600,If you love kundan but want to keep it simple and classy this set should be your pick! Features a gold plated white kundan necklace with a single red drop bead along with dangler earrings ,https://img.faballey.com/images/Product/ZNS00003/d3.jpg
Gold Green Kundan Bead Drop Earring Necklace Set,7500, 3750,Glam up this festive season with this stunner of a gold plated kundan set. Features a layered kundan necklace with a green drop along with matching dangler earrings ,https://img.faballey.com/images/Product/ZNS00018/d3.jpg
Gold Kundan Green Drop Double Orb Earring Necklace Set,4500, 2250,"Glam up this festive season with this stunning, double layered kundan set. Features a double layered kundan necklace with green drop beads and matching earrings ",https://img.faballey.com/images/Product/ZNS00038/d3.jpg
Gold Kundan Multicolor Stone Earring Necklace Set,4000, 2000,"Classic and timeless, this kundan and multicolor bead set is what makes your jewellery collection unfading. Features a necklace crafted from strings of kundan stones and green and red beads.",https://img.faballey.com/images/Product/ZNS00053/d3.jpg
Gold Kundan Green Drop Pearl Earring Necklace Set,3500, 1750,"Set the tone for subtle glamour with this kundan and green drop set. Features a necklace crafted out of pearls, kundan and delicate green beads along with matching earrings. ",https://img.faballey.com/images/Product/ZNS00047/d3.jpg
Gold Green Kundan Floral Pendant Necklace Set,4200, 2100,"Traditional kundan pieces get a strikingly glamorous update with this gold-plated floral pendant necklace set. The set features a floral pendant and stud earrings crafted with a beautiful mix of kundan, green beads and small crystals. ",https://img.faballey.com/images/Product/ZNS00063/d3.jpg
Dual Gold Kundan Green Bead Earring Necklace Set,3500, 1750,Give your festive look a sparkling finish with this classic kundan and green bead set. Features a necklace crafted from layers of kundan stones accentuated with delicate green bead clusters. ,https://img.faballey.com/images/Product/ZNS00055/d3.jpg
Dual Gold Kundan Pearl Earring Necklace Set,4000, 2000,"Make a show stopping entry with this eclectic necklace set. Features double string of pearls attached to red meenakari work outlined kundan, finished off with white pearl drops.",https://img.faballey.com/images/Product/ZNS00056/d3.jpg
Gold Kundan Pear Dainty Drop Earrings Necklace Set,3500, 1750,"For all those who shy away from statement pieces, this set is the perfect pick. Features a necklace crafted out of oval shaped kundan stones and pearl cluster drops along with earrings. ",https://img.faballey.com/images/Product/ZNS00046/d3.jpg
Silver Oxidized Green Stone Star Earring Necklace Set,3500, 1750,"Eclectic and bold, this silver and green bead earring necklace set is a winner of an accessory to pair with any and every outfit. Features a distinctive star design necklace with green stone and matching dangler earrings. ",https://img.faballey.com/images/Product/ZNS00021/d3.jpg
